session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
60917488a7982bb33313a136,5a5b71a08e6259000176045d,RETURNED,22:21.7,,4375738.992,43,300,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609174a73a8262dd722d51e0,5fdf8fe29f4b9e80cc7f7f7d,RETURNED,22:51.6,,4375709.066,61,146,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609174ac5e3b3fc7f78b0951,5d28b89ae5a1f100150e39c2,RETURNED,23:14.4,,4375686.297,27,169,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609174ae01c36d6ec1dce4de,609150b0fefad993f421f364,RETURNED,22:08.9,,4375751.876,27,9,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609174c2f808b838811e5b15,5fd4d084b99dfe27fdaab7de,RETURNED,22:40.5,,4375720.216,41,402,4,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609174ef9e3d03874ec56765,5f8ee008d5fd1409525ba041,RETURNED,23:48.5,24:55.1,66.647,31,742,1,100,,2BF588D8,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091751089fb2e4f9a9bcfd3,600ad0fb206b70059718a0c5,RETURNED,23:44.5,,4375656.277,41,108,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091751433f528889959842c,5f0d5e8b03b5db770f95690d,RETURNED,26:16.8,,4375504.006,41,352,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091751716aaa6c9992eb215,5f32c9098a709304fd5b3a3f,RETURNED,23:59.6,,4375641.273,21,132,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091752db25a95732c12d7c7,5ed403a89542210ab77530b7,RETURNED,24:13.7,,4375627.148,28,356,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091752de251db4f30fed1a3,5e8c7f9f5aee10011be49201,RETURNED,24:13.9,,4375626.979,57,409,4,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091752e33aad4796845d974,5fcc8509127600aed5df47ff,RETURNED,32:35.0,59:27.0,1612.037,32,145,0,100,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175451422af7022fee314,5c08c9f3217d600001117a08,RETURNED,24:37.2,,4375603.684,32,574,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917554a16a89dbb0492c07,6051cf54ac11010b081919f8,RETURNED,25:04.5,,4375576.416,38,366,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917564bd55a0458dffe982,600301218f2211357248f416,RETURNED,25:08.9,,4375572.065,39,195,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091759a8f700cb287259621,5cf656e90acc8f000147f643,RETURNED,26:02.4,,4375518.552,27,629,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175acebbdd9948f14ab1a,5ec4e67a25162c233a96b7a6,RETURNED,26:23.6,,4375497.389,32,208,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175bc4199b8aa78bb0534,5aabf4e3ef1cff000182aeb4,RETURNED,28:02.1,,4375398.813,33,784,7,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175bed75fa0b502722696,5cebd58ade266200191eaf7d,RETURNED,27:04.5,30:19.1,194.6,52,853,14,97,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175c2990e5924dc1f02c4,5efcb50255a06b097b8d5d29,RETURNED,27:04.4,,4375456.622,33,256,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175cd7ea91aca6fb943b1,59cff8eed227970001199862,RETURNED,26:56.5,32:16.3,319.781,43,1590,11,99,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175cd93cdac5674065904,5cc5e73b3b1b1c0001f9dbfb,RETURNED,26:53.2,,4375467.802,36,916,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175cdc8e71003219f9190,59de4ee5d838ae0001850567,RETURNED,27:10.5,,4375450.49,35,1465,8,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175e235e7c1dd0a91a8d8,603a90a8686c576a9aaba470,RETURNED,27:16.7,,4375444.383,30,81,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175e4aefb6d6a22a73fb4,5ef63e2638b9f0303d5e4e72,RETURNED,34:08.7,,4375032.383,36,429,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175f0272d201678600ff2,5b26da1934ffd00001b45d8d,RETURNED,27:33.6,,4375427.44,37,1828,12,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609175f6e3b95f194d914860,5faead22421a230a0a7c2e8d,RETURNED,27:52.7,,4375408.349,34,482,5,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091760d3be5b7af075a90b1,60705ec072fce615131f89aa,RETURNED,27:59.4,,4375401.715,40,82,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917626aecce8a85d829fcc,600c1df208c6ec2287e78d0a,RETURNED,28:24.5,,4375376.646,46,120,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091763e0c23213363066e8a,6064f5a3047118671d89dfa5,RETURNED,28:50.7,,4375350.462,35,183,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609176549220a499324b29da,5f21ac0441a50c10f31ddf96,RETURNED,29:15.2,,4375325.935,34,321,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091766db4752348ed866025,5e2c96a6ec357b2b16b15d31,RETURNED,29:46.1,,4375295.102,62,447,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917693f145a1955619703d,5f8d9a5e2e5fd20aa89758fe,RETURNED,30:14.0,,4375267.184,32,213,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917694253cbea5671a9e54,5db1b1b6cd3329000ba29566,RETURNED,30:18.9,,4375262.366,51,436,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917699b5493e60222e9004,604a7e9f84bf0e7937200df5,RETURNED,30:17.2,,4375264.032,27,311,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609176a40321dc8e91c47edc,606dea112436631b694c56ad,RETURNED,30:45.7,31:10.6,24.925,20,42,0,100,,88BD1F11,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609176ab4878d2be344e5b42,5ef3bdbee9ae7a16241451c1,RETURNED,30:57.7,,4375223.544,32,314,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
