id,user_id,riddle_1,riddle_2,riddle_3,riddle_4,riddle_5,riddle_6,riddle_7,time
302,474,0.75,28,-1,-1,-1,99,-1,2021-01-14 19:57:13
303,472,0.875,28,-1,-1,-1,99,-1,2021-01-14 19:57:13
304,475,0.875,28,-1,-1,-1,99,-1,2021-01-14 20:01:21
305,476,0.5,30,-1,-1,-1,99,-1,2021-01-15 10:32:00
306,477,0.875,28,-1,-1,-1,50,-1,2021-01-16 19:15:40
307,478,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:08:58
308,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:24
309,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:24
310,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:24
311,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:24
312,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:24
313,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:24
314,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:24
315,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
316,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
317,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
318,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
319,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
320,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
321,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
322,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
323,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
324,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
325,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
326,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
327,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
328,479,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:25
329,480,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:12:53
330,481,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:45:59
331,482,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:50:38
332,483,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:54:36
333,484,0.875,28,-1,-1,-1,50,-1,2021-01-16 21:59:11
334,487,0.875,28,-1,-1,-1,50,-1,2021-01-16 22:51:53
335,488,0.875,28,-1,-1,-1,50,-1,2021-01-16 22:56:41
